3836 277.30416666 -1.771388888 P
3854 277.31916666 -2.060833333 F
3857 277.32 -1.291666666 P
3875 277.33708333 -1.620555555 F
3882 277.3475 -1.648611111 P
3884 277.35458333 -1.793611111 F
3916 277.4025 -1.849722222 F
3920 277.40583333 -3.248055555 F
3924 277.40875 -1.85 P
3928 277.41083333 -1.85 P
3932 277.41291666 -1.839166666 F
3935 277.4175 -1.675555555 P
3941 277.42458333 -1.836388888 P
3946 277.43041666 -1.9475 P
3949 277.43291666 -2.215277777 P
3957 277.44125 -1.553333333 F
3960 277.44583333 -1.93 F
3962 277.44708333 -1.934166666 P
3966 277.46708333 -1.96 P
3967 277.46791666 -1.9625 P
3970 277.47375 -1.962777777 F
3972 277.47625 -1.973055555 P
3986 277.49125 -2.0175 F
3988 277.49291666 -1.961111111 P
3990 277.49541666 -2.023611111 P
3991 277.49583333 -2.0325 F
3993 277.4975 -2.018333333 P
3996 277.5 -1.954166666 F
3997 277.50083333 -2.014444444 P
3998 277.50208333 -2.036388888 F
3999 277.5025 -2.034444444 F
4002 277.50416666 -2.102222222 P
4004 277.505 -2.03 P
4007 277.50541666 -2.061666666 P
4009 277.50916666 -2.033055555 P
4010 277.51 -2.049166666 P
4011 277.51125 -2.049722222 F
4012 277.51166666 -2.044444444 P
4013 277.51166666 -2.039444444 P
4014 277.51208333 -2.025833333 F
4015 277.5125 -1.608888888 P
4017 277.51291666 -2.042777777 P
4018 277.51333333 -2.057222222 P
4019 277.51375 -2.045833333 P
4022 277.51791666 -2.027222222 P
4023 277.51833333 -2.070833333 F
4025 277.51958333 -2.040833333 P
4026 277.52041666 -2.028333333 F
4028 277.52125 -2.028055555 F
4029 277.52166666 -2.035 F
4030 277.52166666 -2.042777777 F
4031 277.52166666 -2.056944444 P
4034 277.52291666 -2.018611111 F
4035 277.52416666 -2.028888888 P
4039 277.52583333 -2.051111111 P
4041 277.52791666 -2.060277777 F
4046 277.53625 -2.102777777 F
4052 277.545 -2.065 F
4054 277.54708333 -2.115555555 P
4068 277.565 -2.121944444 P
4069 277.565 -1.843055555 F
4071 277.5675 -1.881111111 P
4074 277.56916666 -2.493333333 F
4076 277.57083333 -2.166111111 P
4077 277.5725 -2.166111111 P
4084 277.58833333 -2.186666666 F
4085 277.59083333 -1.866666666 F
4098 277.60041666 -2.174722222 F
4101 277.60208333 -1.902777777 F
4105 277.60708333 -2.1875 P
4106 277.6075 -2.178333333 P
4107 277.60791666 -2.195 P
4108 277.61166666 -1.890833333 F
4111 277.61291666 -2.182222222 P
4113 277.61333333 -2.183333333 P
4114 277.61458333 -1.910833333 P
4120 277.62166666 -1.945 F
4129 277.63208333 -1.936944444 F
4131 277.635 -3.833611111 F
4147 277.65125 -3.100277777 F
4149 277.65625 -2.148055555 P
4150 277.65666666 -2.144444444 P
4153 277.65958333 -2.145277777 P
4175 277.69541666 -1.9475 P
4176 277.69541666 -1.945833333 P
4185 277.70291666 -1.933611111 P
4229 277.76125 -2.166388888 F
4249 277.79583333 -2.1 P
4279 277.83083333 -2.1275 P
4322 277.87708333 -2.015277777 F
4330 277.89083333 -2.208055555 F
4332 277.89375 -2.253333333 F
4337 277.89958333 -2.225 P
4339 277.90041666 -2.246666666 P
4360 277.91833333 -2.137222222 F
4411 277.96708333 -2.023888888 P
4413 277.96833333 -2.008611111 F
4437 278.00625 -2.637222222 F
4460 278.05458333 -1.958333333 P
4466 278.06291666 -2.581388888 P
4467 278.06625 -2.578611111 F
4508 278.15583333 -2.845833333 F
4524 278.19 -2.7825 P
4556 278.26416666 -2.145 P
4588 278.34875 0.6783333333 P
4589 278.35041666 0.6766666666 P
4594 278.3725 -2.766111111 P
4628 279.09875 -0.246666666 P
4663 279.37583333 0.1183333333 P
4664 279.37583333 0.1197222222 F
4665 279.37958333 0.1183333333 P
4674 279.41333333 -0.426388888 F
4678 279.445 -0.031944444 P
4688 279.48208333 0.3919444444 P
4751 279.73208333 -0.394444444 P
4754 279.745 0.5525 P
4759 279.75541666 0.5041666666 P
4765 279.78958333 0.2316666666 F
4766 279.79041666 0.5458333333 F
4781 279.87416666 0.6277777777 F
4815 280.07333333 0.2702777777 P
4824 60.352083333 41.030277777 P
4827 62.510833333 40.046666666 P
4829 62.535 40.04 P
4830 62.54625 40.023888888 P
4836 64.935833333 38.189444444 F
4840 65.42 37.566388888 P
4842 66.41 37.116944444 P
4843 66.415416666 37.118888888 P
4847 67.062916666 36.507777777 F
4850 67.145833333 36.418333333 P
4852 67.160416666 36.424444444 P
4854 67.181666666 36.4775 P
4855 67.185 36.4125 F
4856 67.20625 36.486111111 P
4857 67.230416666 36.522777777 P
4860 67.416666666 35.352222222 P
4866 67.455 35.239444444 F
4869 67.4625 35.263055555 P
4871 67.475416666 35.1725 F
4873 67.484166666 35.295 P
4878 67.515 35.238888888 P
4883 67.534166666 35.236111111 P
4885 67.539583333 35.244444444 P
4892 67.562083333 36.002222222 P
4897 67.58125 35.139166666 F
4900 67.599166666 35.353333333 P
4902 67.6025 35.755555555 P
4907 67.614166666 35.154722222 P
4908 67.615416666 35.770833333 P
4909 67.616666666 35.154444444 P
4921 67.627083333 35.862222222 P
4922 67.63125 35.753611111 F
4924 67.653333333 35.91 P
4928 67.6575 35.850277777 P
4930 67.660833333 35.910833333 F
4938 67.67125 35.494722222 P
4939 67.684166666 35.9975 P
4942 67.6925 34.982222222 P
4945 67.702083333 35.631388888 P
4947 67.705 34.936111111 P
4952 67.722916666 34.940833333 P
4955 67.732916666 34.946388888 P
4956 67.735833333 35.501111111 P
4957 308.94291666 67.883888888 P
